"","Cell.Type","Cluster","CD45","CD196_CCR6","CD19","CD127_IL-7Ra","CD38","CD33","IgD","CD11c","CD16","CD194_CCR4","CD34","CD123_IL-3R","TCRgd","CD185_CXCR5","CD3","CD45RA","CD123","CD27","CD284","CD28","CD95","CD66b","CD183_CXCR3","CD161","CD45RO","CD24","CD197_CCR7","CD8","CD25_IL-2Ra","CD71","CD20","HLADR","CD4","CD14","CD56_NCAM","CD11b","Frequency","Percentage","Cell.Subtype"
"11","B Cells",19,4.78256173712099,0.70697639530997,4.39158815495558,0.59080784763774,2.0363415278828,0.183568307178265,0.0291508518129088,2.18146363782926,0.0178438646805672,0,0.112472040849391,0.0266059577063261,0.350924070151247,0.124127083578758,0.255128721538903,4.90475445719686,0.392517313922824,2.00134365638685,0.00150512071256784,0.342755012342952,3.10069096806828,0.595927252383479,0.408132911890513,0,0.127593154825211,0.315468324031322,1.69982030674228,0.502029109134578,0.0378126042625009,1.904091616194,3.55463168033233,4.2623038135985,1.14593060395652,0.205190297141145,0.0143182451488027,0,10,0.0649519355676799,"B Cells, Unclassified"
"12","B Cells",2,5.05963184576885,2.21986444425834,4.3351675853498,0.466311584228806,3.62967668377557,0.156557579501102,5.19076900220621,0.353921096682102,0.303603086894326,0.0872272462153533,0.217219199255149,0.0422020093029891,0.00459567692144133,2.2657643157046,0.0225139770751454,4.33817087899009,0.509480159353495,0.349596361550952,0.166023659312205,0.419245300235717,0.177799964206934,1.15298775742816,0.0434036199678231,0,0,1.6554243557833,2.66484855100978,0.125277323045256,0.629926468775791,0.420815305519784,3.87814199026876,4.53300062813759,1.35427750896534,0.118251831138155,0.128101291861215,0.0110316967123117,18,0.116913484021824,"B Cells, Naive"
"13","B Cells",20,5.48196377376492,3.31963950562701,4.64512740580557,1.03080281215026,3.54985709949892,0.439259567542516,4.85705737413463,0.284449062629227,0.287848633508455,0.0987306843712938,0.0238461826851071,0.429714800773864,0,2.90517656737133,0.27901465058082,5.28546009547893,0.222736965538084,1.21317878580311,0.715439895271913,0.382978853704465,0.182714433234225,0.720762169828409,0.100142491982713,0,0.17380720708567,0.409311283342892,3.07482769322202,0.150049957246703,0.558609155054299,0.930932191129088,4.08529458847899,4.8292558463928,1.62000388562175,0,0.0185011531042728,0,7,0.0454663548973759,"B Cells, Naive"
"14","B Cells",21,5.24485504376481,0.733761987382745,4.41462304487879,0.487958956277079,0.985275872163188,0.0189632181330702,0.163638112589135,0.600590938914465,0.169183096695184,0,0.0296485347648401,0,0.0699349903021861,1.67883440920472,0.12729636662806,5.3195130785617,0.294913518825132,3.44019827298883,0.0711454980458525,0,1.38588337639933,0.167129541452416,0.183303508007853,0,0,2.91967276938113,2.64685276460443,0.194194433511695,2.54150665985866,0.462821013847937,3.91893869949387,4.37396171324452,1.46528014009301,0.0726982699767639,0.217828183795473,0.125978278971442,15,0.0974279033515199,"B Cells, Memory"
"15","B Cells",22,5.11754832157413,2.59518907749879,4.31062547360967,0.598845049639027,3.04332637590305,0.464345062790023,5.44569309766844,1.0271924432431,0.623203146069079,0.0484310132104094,0.681672652643299,0,0,1.85119870836004,0.202210422959579,4.79100792016296,0.483904504477352,0.577606431960561,0,0.356965764923833,0.997690318784739,2.71864915114004,0.685963946450191,0.0440580571263482,0.108961529807542,1.23847813318846,2.62721424329107,0.159741816393844,0.468979603501688,0.955477785802616,3.98345845127642,4.89647543332377,1.19384949292773,0.0958126500465945,0.129910105634906,0.140492198074741,15,0.0974279033515199,"B Cells, Naive"
"16","B Cells",23,5.17739450568725,0.240443173204492,4.35649877749973,0.295381574921902,4.53024390591515,0.169689612537405,0.237425374473729,2.44130132148733,0.130767390726484,0,0.281276385376613,0.107647700709787,0.283782377888373,0.204218548041027,0.961239104069211,5.52410384876043,0.287333750724366,1.40067318850822,0.143696174117924,0.996332010922529,4.68830278731064,0.486272977547105,0.288131987639767,0,0.519414258957483,0.112117474350275,0.595108340362097,0.617932576997622,0.146799006808201,3.53313002098901,1.20278094117049,3.19253423729833,0.794581402855179,0.265289737419936,0.223509212580244,0,3,0.019485580670304,"B Cells, Unclassified"
"17","B Cells",24,5.05685095627413,2.71432848839349,4.3900079073749,0.355637575130103,3.16784301505235,0.0792444639162974,4.34511096068652,0.698260317210389,0.406228302272445,0,0,0.153282073455237,0.0958035010327557,2.8797845833636,0,4.4488351104512,0.428947212864465,1.14249244927692,0,0.064522191686838,0.193203977651072,0.0364113425112981,0.0972252041189322,0,0.145117313680012,0.777875667321423,3.08281125315504,0.228953575103286,0.833504201045277,0.468288858045131,3.94136881814613,4.67943295210073,1.10118659651627,0.103938148286208,0,0.5743361391806,9,0.0584567420109119,"B Cells, Naive"
"18","B Cells",25,4.99380180861509,1.12449671993746,4.92932385211198,0.041430796803373,1.45997124471341,0,0.338427987757717,1.29925543582033,0.056598410002584,0,0.0782151185250768,0,0.0253299150016358,1.4952689133756,0.115507548670731,5.2796941780547,0.0284036232369718,2.32200721530906,0.12596758739717,0,2.62148166849602,0.190634935777406,1.05978779133738,0,0,0.872576693958708,2.63624154750159,0.129490411925484,1.3551637608894,0.329014788023137,4.64202622773188,4.54430260249556,1.09515332047587,0.189462553238527,0,0,7,0.0454663548973759,"B Cells, Memory"
"19","B Cells",26,5.04729747717441,2.88395091989043,4.69226771101371,0.819937000901712,3.57407543410177,0.601561187894378,5.08399476225243,0.455323898478568,0.263315744957751,0,0.223584338122188,0.0139469462809089,0,2.83781132194633,0,4.53938999872291,0.487850851014362,0.998126622900128,0,0.230498894648358,0.317899329567614,1.7180594953198,0.0707895680515788,0,0.246381461129126,0.370697145147292,3.39918493464896,0.301219708432605,0.33925740005765,0.978260553418777,3.94475384754401,4.53951880108062,1.06871784785433,0.125578147802902,0.152600465813425,0.0509659219958987,16,0.103923096908288,"B Cells, Naive"
"20","B Cells",27,5.6403584328999,2.44657278658197,5.62694716215756,0.962101300187937,0.858957698725337,0.122487470966044,3.80360753896303,2.78919734229239,0.152756108698172,0,0,0,0.0537214225971717,1.43038497947153,0.131432694545393,5.9763148076673,0.666429353760238,3.62113061744446,0.000635734774243818,0.0531668550962366,3.19765059785926,0.319601230197283,0.707745613619745,0.184435765008464,0.243888659814442,1.9900537149494,1.01017031466033,0.0684752450172544,0.0759345566415268,1.1957798038211,5.32940872059091,5.08544022154229,1.58415742046043,0.160350530133047,0.0521110753271787,0,6,0.0389711613406079,"B Cells, Memory Resting"
"21","B Cells",28,4.99325048898645,1.73246653531403,4.15872937677652,0.0143415377604533,2.89732290163026,0.161050199549873,4.53836031127995,0.859999184050719,0.274097564770402,0,0.162690358738954,0,0,1.63230632406155,0,4.55436715908582,0.394128046146842,0.690962790318062,0.00632099844824482,0,0.221925453620044,1.07964470783662,0.241788793950777,0,0,0.461542476117583,2.7916054035114,0.363586159165408,0.224971633032282,1.2344605810986,3.68164175478652,4.86782080269074,1.12227274794619,0.0962280851570375,0.187743066892227,0.610979899091903,9,0.0584567420109119,"B Cells, Naive"
"22","B Cells",29,4.68910927920658,1.35979705626735,3.76483925663933,0.120701275558029,2.79601745423886,0.148470878833614,3.98061916609556,0.081266312727606,0.0465555291097023,0,0.233592139220901,0,0,0.468790619184651,0.0996175755856588,3.62385736554196,0.198178672047651,0.419114128106621,0,0.297511527161356,0.102181839417796,0.930117225695177,0,0,0.256634955632311,0.175073234289119,3.29365279589395,0.547083110845177,0.10074566172113,0.388370420566598,3.86588549984129,4.1911557918813,0.99154490990319,0.0636739487622354,0.0694275329000206,0,21,0.136399064692128,"B Cells, Naive"
"23","B Cells",3,4.88480643033743,2.5177688615219,3.91354915995295,0.32169253806287,2.84880574027192,0.0691354085697116,3.67941778608814,0.352471800762417,0,0,0.360327714750915,0,0,0.877791093099452,0,3.9450206929019,0.216455970862681,0.271977457821414,0.0150034610137794,0,0.389180799705153,0.130004342383317,0.641984967049366,0,0,0.215178352965084,3.09130108326545,0.255926960873927,0,1.40745219990934,3.95117340722168,4.55098804857769,1.30330476324829,0.29624532528779,0.398354900408144,0,13,0.0844375162379839,"B Cells, Naive"
"24","B Cells",30,5.17607854703448,2.38217994203719,3.98912076267027,0.578645948611958,4.17423307419674,0.820600882201532,5.27662863136779,0.883592140995102,0.379113096390603,0.127660674374043,0.18875156081704,0,0.172394656990772,2.48620950230423,0,4.95505929696489,0.611749657102038,0.334558827940597,0,0.551489566888553,0.334662476768575,1.42997234975591,0.130682879224519,0,0,2.41461103718878,0.168758998652666,0,0.127726796393264,0.699759838122425,4.47094789844908,4.86635943410233,1.61438511572856,0.111311433186044,0.252232401026812,0.174322401369268,13,0.0844375162379839,"B Cells, Transitional"
"25","B Cells",31,4.85908017996352,1.61579285130875,3.51515145087709,0.0392720067475741,2.69700011293095,0.0300077867784913,4.178851257677,0.395353666506699,0.0465237554184629,0,0.0427546042986599,0.0904596798692261,0,2.03797641998184,0.00217914934505538,4.14948929273639,0.394686679395134,0.463056817990924,0.110231354142045,0.20444837785571,0.104988904852761,0.436244609058312,0.0242676158043545,0,0,0.204218248795417,3.54445412988541,0.499453405128687,0.439118253415074,0.960918482809346,3.28605670932637,4.61943423955892,1.2609777292393,0.13775488110472,0.232405530624746,0,18,0.116913484021824,"B Cells, Naive"
"26","B Cells",32,5.34870058511207,1.93670967403063,4.63219790776683,0.115474036187136,3.66793629499418,0.0154703034103943,5.34312369736909,0.351213780939897,0.405335023677551,0.144494230039201,0.39716328725242,0.0865347205447188,0,1.88533644205825,0.137929773833721,4.64162816478251,0.428009249695066,0.896671087363042,0.113678704273625,0.326797580604954,0.353981053790279,1.51180093066234,0.138781123335848,0,0.308078233957568,0.509300586655867,3.65319531945784,0.418018250525661,0.344770940250711,2.48452146584808,4.23234623051306,5.07200179955295,1.459747959661,0,0.147494323624231,0.0483174204813353,7,0.0454663548973759,"B Cells, Naive"
"27","B Cells",33,5.29623404891343,5.27717641725172,4.98522501627105,2.89701752385844,4.32574346027118,0.603388995155991,5.06365516391259,0.199506434884738,0,0.0206846641275007,0.599538685173695,0,0.1173966138646,2.03878697204877,0,5.42654020021604,0.671394154618782,2.63271557281241,1.8994858890058,1.0273915625503,0.224090916469489,0.940576520674503,0,0.48850455243476,0.128024728791159,2.96483826397276,0.353512120475834,0.63665416538893,0.961879749851304,1.25492400395398,3.89682527564013,3.89575721992037,1.16600562812751,0.813464041662777,0,0.112312357263039,3,0.019485580670304,"B Cells, Transitional"
"28","B Cells",34,5.50078375617352,3.15854912352673,5.95504734838094,1.47469387942745,1.23887647552376,0.694011250285392,5.69700316514937,4.06751315572618,1.21192095160652,0.158418836465307,0.327037455748927,0.342067715053509,0.0841026019104784,1.20562202929353,0.208523498603175,5.45741048532527,0.776631636232238,2.27131387643759,0.714305474364006,0.0717398960767359,1.92185902102878,2.06462061503194,0.504011014040027,0.0554336720240636,0.0751509720467197,0.260313782349078,0.769998249324656,0.285913214456875,0,1.18629376443443,5.44439666091832,4.82978736049404,1.32983914327775,0.115829222767776,0.218021972379262,0,8,0.0519615484541439,"B Cells, Memory Resting"
"29","B Cells",35,4.95579189056297,1.70083180573139,3.96414679677423,0.234396959967075,3.37469771308541,0.306187090054494,4.48364787536306,0.508417482130345,0.171396753548464,0,0.124553134240074,0.0533959061034686,0,1.06452036892586,0.0104970121854869,4.35488364679154,0.950543025434704,0.61797762822008,0,0.32075900005132,0.0297868667213437,0.560239667926249,0,0,0.0296421122065573,0.444492499543764,3.39697796705807,0,0.347421442398059,0.301061541585003,4.22217335994412,4.45685994468592,1.46386220611413,0,0.00407414687606294,0,15,0.0974279033515199,"B Cells, Naive"
"30","B Cells",36,5.59765808724234,0.636970025351691,5.67416800573676,0.798489316796186,1.13395318355729,0.321419942773948,4.22996370273643,2.86278264345279,0.239190198058933,0.137902114157972,0.0176355569828456,0.0841537355756719,0,0.0898534967748562,0.0198237871514578,5.68859152800452,0.565286731684093,3.25921294345906,0.222141298119363,0,3.03721887172344,1.13516835585722,1.10898325878342,0,0.211326298643164,3.05625232460955,3.18672364157504,0.323242789668984,0.274522763687385,1.31603250157139,5.11791475206349,5.14755202656889,1.5946195957371,0.272670649424733,0.304673312469757,0,8,0.0519615484541439,"B Cells, Memory Resting"
"31","B Cells",37,5.21005207854126,2.50264580203407,3.72525758138731,0.0900654488319729,4.92574989748859,1.24045019179753,5.04776401028396,0.963937797191432,0.284654869437581,0,0.202181967242924,0.283585091335224,0,0.856553943977911,0.141810515670246,4.74608683313905,2.50573537426651,0.249164477568414,0,1.36966244857414,0.404977925643008,1.34833111548075,0.0263123130670944,0,0.624724457636434,1.45506152761464,2.56308234795815,0.474919916182603,2.91577236971147,1.95974759238684,4.7687698646011,4.96623209356589,1.07046420493941,0.0159095743121894,0,0.320164942086662,3,0.019485580670304,"B Cells, Naive"
